renovation,area,city,floor,kitchen_area,balconies,rooms,house_floors,house_wall_type,lifts,price
косметический,33.0,Казань,4,6.0,1,1,5,Кирпичный,0,4899972.0
,31.0,Казань,4,0.0,0,1,5,Кирпичный,0,4349982.0
,31.8,Казань,5,6.0,0,1,5,Смешанные,0,4349985.600000001
Косметический,30.9,Казань,5,5.8,1,1,5,Панельный,0,4198970.1
Косметический,39.54,Казань,7,8.0,1,1,9,Панельный,1,4489964.7
,31.4,Казань,6,6.0,1,1,9,Кирпичный,0,4449976.6
Требует ремонта,32.0,Казань,4,5.0,0,1,5,Кирпичный,0,4300000.0
,31.5,Казань,3,0.0,0,1,5,Иные,0,4189972.5
,30.1,Казань,5,5.6,0,1,5,Иные,0,4099981.2
,33.0,Казань,4,6.0,0,1,5,Панельный,0,3999996.0
Косметический,34.0,Казань,9,7.0,1,1,9,Иные,0,4299980.0
,35.8,Казань,8,7.3,1,1,9,Кирпичный,1,4549965.199999999
,32.0,Казань,2,6.0,1,1,3,Кирпичный,0,4049984.0
Косметический,31.0,Казань,2,6.0,0,1,5,Смешанные,0,4189991.0
Косметический,29.5,Казань,4,5.7,1,1,4,Кирпичный,0,3799983.5
,33.0,Казань,5,8.0,1,1,5,Кирпичный,0,3789984.0
,33.8,Казань,7,11.3,0,1,9,Кирпичный,0,4199988.0
Косметический,29.9,Казань,4,8.0,1,1,9,Кирпичный,1,4319981.899999999
,30.3,Казань,1,6.0,0,1,5,Кирпичный,0,4199973.9
,30.4,Казань,3,6.0,1,1,5,Панельный,0,3598995.1999999997
,29.3,Казань,5,5.3,0,1,5,Иные,0,3679992.1
,26.5,Казань,7,5.0,1,1,9,Кирпичный,0,3989999.0
Требуется,36.1,Казань,3,7.7,1,1,5,Кирпичный,0,4099985.3000000003
косметический,33.9,Казань,2,8.0,0,1,2,Кирпичный,0,4099967.6999999997
