id,offer_views,city,lat,lon,price_sq,area,floor,kitchen_area,bathroom_type,balconies,renovation,is_apartment,rooms,has_gas,house_floors,house_wall_type,lifts,freight_lifts,time_on_foot_to_subway,build_year,urgent,duplicates_count,sale_type,is_auction,all_data.house.ceiling_height,all_data.house.has_garbage_disposer,all_data.is_auction,all_data.object_info.living_area,all_data.object_info.window_view[0].display_name,all_data.object_info.window_view[1].display_name,all_data.object_info.window_view[2].display_name,all_data.object_info.window_view[3].display_name,all_data.object_info.window_view[4].display_name,all_data.object_info.loggias,all_data.legal_options.approve,all_data.legal_options.mortgage,all_data.legal_options.is_individual,all_data.legal_options.is_owner,all_data.legal_options.owner_minors,all_data.legal_options.residence_minors,all_data.object_info.redevelopment,all_data.house.security[0].display_name,all_data.house.security[1].display_name,all_data.house.security[2].display_name,all_data.house.security[3].display_name,all_data.house.parking[0].display_name,all_data.house.parking[1].display_name,all_data.house.parking[2].display_name,all_data.house.parking[3].display_name,all_data.house.parking[4].display_name,all_data.house.yard[0].display_name,all_data.house.yard[1].display_name,all_data.house.infrastructure[0].display_name,all_data.house.infrastructure[1].display_name,all_data.house.infrastructure[2].display_name,all_data.house.infrastructure[3].display_name,all_data.house.infrastructure[4].display_name,all_data.legal_options.years_ownership.display_name,all_data.legal_options.owner_count,all_data.object_info.garage_type.display_name
1756697006,2127,Москва,"55,86062","37,525028",503546,"14,1",1,0,Совмещенный,0,Евро,True,1,False,3,Кирпичный,0,0,27,2022,False,0,Свободная продажа,False,,false,false,,Двор,,,,,,true,,false,false,false,false,false,Домофон,Кодовая дверь,,,Во дворе,Со шлагбаумом,,,,Детская площадка,Спортивная площадка,Школа,Парк,Фитнес,Детский сад,,Меньше трех,1,
1803275641,161,Москва,"55,87445","37,688997",428571,"17,5",2,2,Совмещенный,0,Евро,False,0,False,5,Кирпичный,0,0,24,1963,False,0,Свободная продажа,False,"2,7",false,false,14,Двор,,,,,,true,,true,false,false,false,false,Домофон,Консьерж,,,Во дворе,,,,,Детская площадка,,Школа,Парк,Детский сад,Торговый центр,Фитнес,Меньше трех,1,
1900849974,0,Москва,"55,651186","37,483095",339024,"20,5",3,0,None,0,евроремонт,True,0,None,22,Панельный,1,0,16,1980,False,0,Свободная продажа,False,"2,65",true,false,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
1801467689,616,Москва,"55,86062","37,525028",336124,"20,8",3,0,Совмещенный,0,Евро,True,0,False,3,Кирпичный,0,0,27,2022,True,0,Свободная продажа,False,"3,8",false,false,,Двор,,,,,,true,,false,false,false,false,false,Домофон,,,,Во дворе,,,,,Детская площадка,Спортивная площадка,Детский сад,Школа,Торговый центр,Парк,Фитнес,Меньше трех,1,
1894267017,0,Москва,"55,651186","37,483095",358711,"19,4",5,2,None,0,евроремонт,True,0,None,22,Панельный,1,0,16,1980,False,0,Свободная продажа,False,"2,6",true,false,"11,4",Двор,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
1881996316,0,Москва,"55,651186","37,483095",350515,"19,4",4,2,None,0,евроремонт,True,0,None,22,Панельный,1,0,16,1980,False,0,Свободная продажа,False,"2,6",true,false,"12,4",Двор,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
1897151130,0,Москва,"55,86062","37,525028",330611,"19,2",1,3,None,0,Евро,True,0,None,3,Кирпичный,0,0,27,2022,False,0,Свободная продажа,False,4,,false,14,Улица,,,,,0,true,true,,,,,,,,,,Наземная,,,,,,,,,,,,,,Наземная парковка
1876493960,0,Москва,"55,86062","37,525028",342598,"18,7",3,3,None,0,Евро,True,0,None,3,Кирпичный,0,0,27,2022,False,0,Свободная продажа,False,"2,8",,false,"10,7",Двор,,,,,0,true,true,,,,,,,,,,Наземная,,,,,,,,,,,,,,Наземная парковка
1894224803,0,Москва,"55,838061","37,633284",278571,28,4,"12,3",None,0,Евро,True,0,False,5,Кирпичный,1,0,13,1954,False,0,Свободная продажа,False,,,false,10,Двор,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
1527667110,2924,Москва,"55,854901","37,466979",300395,"25,3",4,0,Совмещенный,0,Евро,True,0,False,4,Кирпичный,0,0,12,1965,False,0,Свободная продажа,False,"3,1",false,false,,Парк,,,,,,true,,false,false,false,false,false,Домофон,Закрытая территория,,,Во дворе,Со шлагбаумом,,,,Детская площадка,Спортивная площадка,Школа,Детский сад,Торговый центр,Парк,Фитнес,Меньше трех,1,
